stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
9001103,,Wiebestr./Huttenstr. (Berlin),,52.5283150,13.3202550,,,0,
9001151,,Reuchlinstr. (Berlin),,52.5279000,13.3236320,,,0,
9001152,,Neues Ufer (Berlin),,52.5291000,13.3159760,,,0,
9001154,,Ilsenburger Str. (Berlin),,52.5257530,13.3098340,,,0,
9001155,,Goslarer Platz (Berlin),,52.5257930,13.3142560,,,0,
9001200,,Fennbrücke (Berlin),,52.5383960,13.3609580,,,0,
9001201,,S+U Westhafen (Berlin),,52.5361830,13.3438370,,,0,
9001202,,Am Nordhafen (Berlin),,52.5388500,13.3636100,,,0,
9001203,,Döberitzer Str. (Berlin),,52.5306650,13.3681070,,,0,
9001204,,Lehrter Str./Invalidenstr. (Berlin),,52.5257640,13.3652230,,,0,
9001206,,Heidestr. (Berlin),,52.5333220,13.3655090,,,0,
9001252,,Friedrich-Krause-Ufer (Berlin),,52.5367390,13.3612160,,,0,
9002101,,Turmstr./Waldstr. (Berlin),,52.5271040,13.3304300,,,0,
9002102,,Turmstr./Beusselstr. (Berlin),,52.5273390,13.3287430,,,0,
9002151,,Wittstocker Str. (Berlin),,52.5308560,13.3285100,,,0,
9002200,,Quitzowstr. (Berlin),,52.5352940,13.3563960,,,0,
9002201,,U Birkenstr. (Berlin),,52.5322290,13.3414170,,,0,
9002202,,Wilsnacker Str. (Berlin),,52.5263630,13.3514060,,,0,
9002203,,Stendaler Str. (Berlin),,52.5324580,13.3505320,,,0,
9002204,,Perleberger Brücke (Berlin),,52.5353290,13.3580330,,,0,
9002205,,Turmstr./Lübecker Str. (Berlin),,52.5262510,13.3455080,,,0,
9002206,,Turmstr./Rathenower Str. (Berlin),,52.5266840,13.3548050,,,0,
9002207,,Stromstr. (Berlin),,52.5291890,13.3440060,,,0,
9002254,,Birkenstr./Rathenower Str. (Berlin),,52.5296540,13.3529070,,,0,
9002255,,Seydlitzstr. (Berlin),,52.5270350,13.3641580,,,0,
9002256,,Poststadion (Berlin),,52.5302810,13.3624310,,,0,
9002257,,Kruppstr. (Berlin),,52.5333870,13.3596390,,,0,
9002258,,Havelberger Str. (Berlin),,52.5310250,13.3476730,,,0,
9003101,,U Hansaplatz (Berlin),,52.5181110,13.3421650,,,0,
9003102,,S Bellevue (Berlin),,52.5199510,13.3470980,,,0,
9003103,,S Tiergarten (Berlin),,52.5139630,13.3362350,,,0,
9003104,,U Turmstr. (Berlin),,52.5259380,13.3414170,,,0,
9003105,,Bachstr. (Berlin),,52.5185980,13.3395730,,,0,
9003107,,Alt-Moabit/Gotzkowskystr. (Berlin),,52.5239290,13.3298920,,,0,
9003152,,Solinger Str. (Berlin),,52.5205470,13.3357280,,,0,
9003155,,Rathaus Tiergarten (Berlin),,52.5260620,13.3391660,,,0,
9003156,,Ottostr. (Berlin),,52.5246810,13.3349250,,,0,
9003174,,U Turmstr. (Berlin) [Bus Turmstr.],,52.5263000,13.3419880,,,0,
9003175,,U Turmstr. (Berlin) [Bus Stromstr.],,52.5258120,13.3430190,,,0,
9003176,,U Turmstr. (Berlin) [Bus Alt-Moabit],,52.5255100,13.3419340,,,0,
9003181,,Zinzendorfstr. (Berlin),,52.5222210,13.3315060,,,0,
9003202,,Kirchstr./Alt-Moabit (Berlin),,52.5245420,13.3495820,,,0,
9003203,,Alt-Moabit/Rathenower Str. (Berlin),,52.5236920,13.3570700,,,0,
9003204,,Kleiner Tiergarten (Berlin),,52.5249900,13.3457640,,,0,
9003251,,Paulstr. (Berlin),,52.5200690,13.3556620,,,0,
9003252,,Schloss Bellevue (Berlin),,52.5167150,13.3542030,,,0,
9003253,,Haus der Kulturen der Welt (Berlin),,52.5175980,13.3633640,,,0,
9003254,,U Bundestag (Berlin),,52.5199080,13.3734540,,,0,
9003255,,Clara-Jaschke-Str. (Berlin),,52.5249280,13.3660520,,,0,
9003256,,Spenerstr. (Berlin),,52.5240020,13.3535430,,,0,
9003257,,Lesser-Ury-Weg (Berlin),,52.5242110,13.3619780,,,0,
9003259,,Lüneburger Str. (Berlin),,52.5231360,13.3616500,,,0,
9004101,,Großer Stern (Berlin),,52.5151430,13.3501770,,,0,
9004104,,Reichstag/Bundestag (Berlin),,52.5177160,13.3764800,,,0,
9004105,,Platz der Republik (Berlin),,52.5177860,13.3704420,,,0,
9004151,,Nordische Botschaften/Adenauer-Stiftung (Berlin),,52.5095930,13.3514060,,,0,
9004181,,Hertzallee (Berlin),,52.5092310,13.3326150,,,0,
9005101,,Budapester Str. (Berlin),,52.5065670,13.3456720,,,0,
9005102,,Corneliusbrücke (Berlin),,52.5076200,13.3486650,,,0,
9005103,,Schillstr. (Berlin),,52.5031030,13.3499260,,,0,
9005105,,Lützowplatz (Berlin),,52.5049000,13.3515570,,,0,
